method,dist,n1,n2,rho1,rho2,fz_nosim,fz
pearson,normal,15,60,0.4,0.1,0.173093345,0.175
pearson,normal,15,60,0.4,0.2,0.103041617,0.118
pearson,normal,15,60,0.4,0.3,0.054729673,0.083
pearson,normal,15,60,0.4,0.4,0.025,0.052
pearson,normal,15,60,0.4,0.5,0.058869761,0.074
pearson,normal,15,60,0.4,0.6,0.13318754,0.126
pearson,normal,15,60,0.4,0.7,0.286674017,0.265
pearson,normal,15,60,0.4,0.8,0.565589878,0.55
pearson,normal,15,60,0.4,0.9,0.910114257,0.906
pearson,normal,15,60,0.5,0,0.408861595,0.434
pearson,normal,15,60,0.5,0.1,0.292402358,0.326
pearson,normal,15,60,0.5,0.2,0.192484416,0.218
pearson,normal,15,60,0.5,0.3,0.114102346,0.115
pearson,normal,15,60,0.5,0.4,0.058869761,0.059
pearson,normal,15,60,0.5,0.5,0.025,0.063
pearson,normal,15,60,0.5,0.6,0.065894989,0.062
pearson,normal,15,60,0.5,0.7,0.168840056,0.152
pearson,normal,15,60,0.5,0.8,0.408861595,0.386
pearson,normal,15,60,0.5,0.9,0.827881685,0.828
pearson,normal,15,60,0.6,0,0.588002227,0.644
pearson,normal,15,60,0.6,0.1,0.462754464,0.485
pearson,normal,15,60,0.6,0.2,0.338743706,0.352
pearson,normal,15,60,0.6,0.3,0.225991525,0.249
pearson,normal,15,60,0.6,0.4,0.13318754,0.135
pearson,normal,15,60,0.6,0.5,0.065894989,0.069
pearson,normal,15,60,0.6,0.6,0.025,0.044
pearson,normal,15,60,0.6,0.7,0.079027639,0.082
pearson,normal,15,60,0.6,0.8,0.247190435,0.224
pearson,normal,15,60,0.6,0.9,0.688973955,0.672
pearson,normal,15,60,0.7,0,0.779566661,0.789
pearson,normal,15,60,0.7,0.1,0.675382362,0.721
pearson,normal,15,60,0.7,0.2,0.55267686,0.56
pearson,normal,15,60,0.7,0.3,0.419258208,0.459
pearson,normal,15,60,0.7,0.4,0.286674017,0.311
pearson,normal,15,60,0.7,0.5,0.168840056,0.185
pearson,normal,15,60,0.7,0.6,0.079027639,0.085
pearson,normal,15,60,0.7,0.7,0.025,0.043
pearson,normal,15,60,0.7,0.8,0.109034466,0.094
pearson,normal,15,60,0.7,0.9,0.47791887,0.45
pearson,normal,15,60,0.8,0,0.933065165,0.951
pearson,normal,15,60,0.8,0.1,0.881617138,0.914
pearson,normal,15,60,0.8,0.2,0.80530169,0.842
pearson,normal,15,60,0.8,0.3,0.700032237,0.73
pearson,normal,15,60,0.8,0.4,0.565589878,0.634
pearson,normal,15,60,0.8,0.5,0.408861595,0.436
pearson,normal,15,60,0.8,0.6,0.247190435,0.274
pearson,normal,15,60,0.8,0.7,0.109034466,0.12
pearson,normal,15,60,0.8,0.8,0.025,0.063
pearson,normal,15,60,0.8,0.9,0.216619164,0.199
pearson,normal,15,60,0.9,0,0.996267069,0.997
pearson,normal,15,60,0.9,0.1,0.990848023,0.994
pearson,normal,15,60,0.9,0.2,0.979175674,0.985
pearson,normal,15,60,0.9,0.3,0.955509254,0.969
pearson,normal,15,60,0.9,0.4,0.910114257,0.936
pearson,normal,15,60,0.9,0.5,0.827881685,0.832
pearson,normal,15,60,0.9,0.6,0.688973955,0.72
pearson,normal,15,60,0.9,0.7,0.47791887,0.51
pearson,normal,15,60,0.9,0.8,0.216619164,0.245
pearson,normal,15,60,0.9,0.9,0.025,0.049
pearson,normal,15,120,0,0,0.025,0.048
pearson,normal,15,120,0,0.1,0.051661505,0.058
pearson,normal,15,120,0,0.2,0.098327662,0.09
pearson,normal,15,120,0,0.3,0.173905473,0.174
pearson,normal,15,120,0,0.4,0.286947092,0.277
pearson,normal,15,120,0,0.5,0.441259626,0.422
pearson,normal,15,120,0,0.6,0.628076114,0.64
pearson,normal,15,120,0,0.7,0.81628625,0.816
pearson,normal,15,120,0,0.8,0.951984861,0.946
pearson,normal,15,120,0,0.9,0.998116008,0.996
pearson,normal,15,120,0.1,0,0.051661505,0.066
pearson,normal,15,120,0.1,0.1,0.025,0.043
pearson,normal,15,120,0.1,0.2,0.052385549,0.078
pearson,normal,15,120,0.1,0.3,0.102068146,0.088
pearson,normal,15,120,0.1,0.4,0.185838418,0.175
pearson,normal,15,120,0.1,0.5,0.316044885,0.302
pearson,normal,15,120,0.1,0.6,0.498304898,0.505
pearson,normal,15,120,0.1,0.7,0.715759941,0.718
pearson,normal,15,120,0.1,0.8,0.908799722,0.922
pearson,normal,15,120,0.1,0.9,0.994855292,0.995
pearson,normal,15,120,0.2,0,0.098327662,0.105
pearson,normal,15,120,0.2,0.1,0.052385549,0.066
pearson,normal,15,120,0.2,0.2,0.025,0.044
pearson,normal,15,120,0.2,0.3,0.053953919,0.076
pearson,normal,15,120,0.2,0.4,0.109133356,0.099
pearson,normal,15,120,0.2,0.5,0.207078269,0.244
pearson,normal,15,120,0.2,0.6,0.366151984,0.374
pearson,normal,15,120,0.2,0.7,0.591916608,0.582
pearson,normal,15,120,0.2,0.8,0.8402745,0.836
pearson,normal,15,120,0.2,0.9,0.987064242,0.992
pearson,normal,15,120,0.3,0,0.173905473,0.204
pearson,normal,15,120,0.3,0.1,0.102068146,0.129
pearson,normal,15,120,0.3,0.2,0.053953919,0.057
pearson,normal,15,120,0.3,0.3,0.025,0.048
pearson,normal,15,120,0.3,0.4,0.056659945,0.064
pearson,normal,15,120,0.3,0.5,0.121222654,0.117
pearson,normal,15,120,0.3,0.6,0.24372886,0.245
pearson,normal,15,120,0.3,0.7,0.452313791,0.464
pearson,normal,15,120,0.3,0.8,0.739982367,0.741
pearson,normal,15,120,0.3,0.9,0.969661326,0.96
pearson,normal,15,120,0.4,0,0.286947092,0.291
pearson,normal,15,120,0.4,0.1,0.185838418,0.211
pearson,normal,15,120,0.4,0.2,0.109133356,0.118
pearson,normal,15,120,0.4,0.3,0.056659945,0.079
pearson,normal,15,120,0.4,0.4,0.025,0.05
pearson,normal,15,120,0.4,0.5,0.061122988,0.056
pearson,normal,15,120,0.4,0.6,0.142112552,0.107
pearson,normal,15,120,0.4,0.7,0.309828738,0.313
pearson,normal,15,120,0.4,0.8,0.605177975,0.596
pearson,normal,15,120,0.4,0.9,0.933104829,0.915
pearson,normal,15,120,0.5,0,0.441259626,0.498
pearson,normal,15,120,0.5,0.1,0.316044885,0.324
pearson,normal,15,120,0.5,0.2,0.207078269,0.203
pearson,normal,15,120,0.5,0.3,0.121222654,0.13
pearson,normal,15,120,0.5,0.4,0.061122988,0.08
pearson,normal,15,120,0.5,0.5,0.025,0.051
pearson,normal,15,120,0.5,0.6,0.068715582,0.088
pearson,normal,15,120,0.5,0.7,0.18117796,0.179
pearson,normal,15,120,0.5,0.8,0.441259626,0.414
pearson,normal,15,120,0.5,0.9,0.860988651,0.851
pearson,normal,15,120,0.6,0,0.628076114,0.642
pearson,normal,15,120,0.6,0.1,0.498304898,0.538
pearson,normal,15,120,0.6,0.2,0.366151984,0.389
pearson,normal,15,120,0.6,0.3,0.24372886,0.269
pearson,normal,15,120,0.6,0.4,0.142112552,0.142
pearson,normal,15,120,0.6,0.5,0.068715582,0.086
pearson,normal,15,120,0.6,0.6,0.025,0.053
pearson,normal,15,120,0.6,0.7,0.082961482,0.077
pearson,normal,15,120,0.6,0.8,0.266867402,0.228
pearson,normal,15,120,0.6,0.9,0.729146376,0.71
pearson,normal,15,120,0.7,0,0.81628625,0.834
pearson,normal,15,120,0.7,0.1,0.715759941,0.745
pearson,normal,15,120,0.7,0.2,0.591916608,0.626
pearson,normal,15,120,0.7,0.3,0.452313791,0.502
pearson,normal,15,120,0.7,0.4,0.309828738,0.317
pearson,normal,15,120,0.7,0.5,0.18117796,0.206
pearson,normal,15,120,0.7,0.6,0.082961482,0.104
pearson,normal,15,120,0.7,0.7,0.025,0.04
pearson,normal,15,120,0.7,0.8,0.115681486,0.087
pearson,normal,15,120,0.7,0.9,0.514236425,0.487
pearson,normal,15,120,0.8,0,0.951984861,0.974
pearson,normal,15,120,0.8,0.1,0.908799722,0.937
pearson,normal,15,120,0.8,0.2,0.8402745,0.881
pearson,normal,15,120,0.8,0.3,0.739982367,0.781
pearson,normal,15,120,0.8,0.4,0.605177975,0.655
pearson,normal,15,120,0.8,0.5,0.441259626,0.487
pearson,normal,15,120,0.8,0.6,0.266867402,0.295
pearson,normal,15,120,0.8,0.7,0.115681486,0.133
pearson,normal,15,120,0.8,0.8,0.025,0.059
pearson,normal,15,120,0.8,0.9,0.233485666,0.197
pearson,normal,15,120,0.9,0,0.998116008,1
pearson,normal,15,120,0.9,0.1,0.994855292,0.997
pearson,normal,15,120,0.9,0.2,0.987064242,0.992
pearson,normal,15,120,0.9,0.3,0.969661326,0.98
pearson,normal,15,120,0.9,0.4,0.933104829,0.931
pearson,normal,15,120,0.9,0.5,0.860988651,0.89
pearson,normal,15,120,0.9,0.6,0.729146376,0.77
pearson,normal,15,120,0.9,0.7,0.514236425,0.534
pearson,normal,15,120,0.9,0.8,0.233485666,0.242
pearson,normal,15,120,0.9,0.9,0.025,0.056
pearson,normal,15,240,0,0,0.025,0.049
pearson,normal,15,240,0,0.1,0.052522677,0.063
pearson,normal,15,240,0,0.2,0.101188369,0.085
pearson,normal,15,240,0,0.3,0.180381554,0.172
pearson,normal,15,240,0,0.4,0.298680039,0.313
pearson,normal,15,240,0,0.5,0.458771288,0.452
pearson,normal,15,240,0,0.6,0.648990058,0.646
pearson,normal,15,240,0,0.7,0.834266609,0.834
pearson,normal,15,240,0,0.8,0.960190806,0.964
pearson,normal,15,240,0,0.9,0.998717419,0.999
pearson,normal,15,240,0.1,0,0.052522677,0.059
pearson,normal,15,240,0.1,0.1,0.025,0.048
pearson,normal,15,240,0.1,0.2,0.053274285,0.056
pearson,normal,15,240,0.1,0.3,0.105101914,0.101
pearson,normal,15,240,0.1,0.4,0.192890512,0.174
pearson,normal,15,240,0.1,0.5,0.329019257,0.334
pearson,normal,15,240,0.1,0.6,0.517349339,0.535
pearson,normal,15,240,0.1,0.7,0.736329585,0.751
pearson,normal,15,240,0.1,0.8,0.921291354,0.916
pearson,normal,15,240,0.1,0.9,0.996279708,0.996
pearson,normal,15,240,0.2,0,0.101188369,0.113
pearson,normal,15,240,0.2,0.1,0.053274285,0.058
pearson,normal,15,240,0.2,0.2,0.025,0.056
pearson,normal,15,240,0.2,0.3,0.0549029,0.058
pearson,normal,15,240,0.2,0.4,0.112497003,0.103
pearson,normal,15,240,0.2,0.5,0.215148255,0.203
pearson,normal,15,240,0.2,0.6,0.381112831,0.36
pearson,normal,15,240,0.2,0.7,0.612564391,0.609
pearson,normal,15,240,0.2,0.8,0.857183333,0.856
pearson,normal,15,240,0.2,0.9,0.990107287,0.989
pearson,normal,15,240,0.3,0,0.180381554,0.19
pearson,normal,15,240,0.3,0.1,0.105101914,0.124
pearson,normal,15,240,0.3,0.2,0.0549029,0.078
pearson,normal,15,240,0.3,0.3,0.025,0.045
pearson,normal,15,240,0.3,0.4,0.057714523,0.07
pearson,normal,15,240,0.3,0.5,0.125158094,0.118
pearson,normal,15,240,0.3,0.6,0.253519031,0.226
pearson,normal,15,240,0.3,0.7,0.470151772,0.459
pearson,normal,15,240,0.3,0.8,0.760170944,0.754
pearson,normal,15,240,0.3,0.9,0.975551858,0.975
pearson,normal,15,240,0.4,0,0.298680039,0.318
pearson,normal,15,240,0.4,0.1,0.192890512,0.204
pearson,normal,15,240,0.4,0.2,0.112497003,0.126
pearson,normal,15,240,0.4,0.3,0.057714523,0.064
pearson,normal,15,240,0.4,0.4,0.025,0.044
pearson,normal,15,240,0.4,0.5,0.062355932,0.068
pearson,normal,15,240,0.4,0.6,0.147050385,0.148
pearson,normal,15,240,0.4,0.7,0.322542927,0.304
pearson,normal,15,240,0.4,0.8,0.625948321,0.62
pearson,normal,15,240,0.4,0.9,0.943378516,0.945
pearson,normal,15,240,0.5,0,0.458771288,0.488
pearson,normal,15,240,0.5,0.1,0.329019257,0.36
pearson,normal,15,240,0.5,0.2,0.215148255,0.213
pearson,normal,15,240,0.5,0.3,0.125158094,0.141
pearson,normal,15,240,0.5,0.4,0.062355932,0.088
pearson,normal,15,240,0.5,0.5,0.025,0.047
pearson,normal,15,240,0.5,0.6,0.07026247,0.054
pearson,normal,15,240,0.5,0.7,0.188005349,0.163
